lot_id,sku_id,location_id,qty_on_hand,production_date,expiry_date
LOT-00103,SKU-0026,LOC-02,1401,2025-01-26,2025-12-15
LOT-00104,SKU-0050,LOC-05,1877,2025-02-25,2025-05-30
LOT-00105,SKU-0056,LOC-04,1119,2025-01-25,2025-09-21
LOT-00106,SKU-0037,LOC-01,1159,2025-02-24,2025-03-28
LOT-00107,SKU-0035,LOC-01,537,2025-02-20,2025-07-06
LOT-00108,SKU-0032,LOC-05,515,2025-02-06,2025-07-16
LOT-00109,SKU-0055,LOC-05,786,2025-02-22,2025-07-10
LOT-00110,SKU-0049,LOC-04,1662,2025-02-11,2025-05-15
LOT-00111,SKU-0022,LOC-05,71,2025-02-17,2025-06-12
LOT-00112,SKU-0041,LOC-03,228,2024-12-30,2025-12-11
LOT-00113,SKU-0007,LOC-04,924,2025-01-28,2025-05-24
LOT-00114,SKU-0035,LOC-04,691,2025-02-01,2025-06-17
LOT-00115,SKU-0059,LOC-05,1590,2025-02-10,2025-05-26
LOT-00116,SKU-0045,LOC-05,1014,2025-02-20,2025-04-01
LOT-00117,SKU-0039,LOC-02,734,2025-01-27,2025-07-15
LOT-00118,SKU-0018,LOC-04,1392,2025-01-26,2026-01-15
LOT-00119,SKU-0058,LOC-04,881,2025-02-22,2025-04-08
LOT-00120,SKU-0040,LOC-02,823,2025-02-21,2025-04-19
LOT-00121,SKU-0027,LOC-02,505,2025-02-16,2025-05-27
LOT-00122,SKU-0008,LOC-05,773,2025-02-25,2025-04-05
LOT-00123,SKU-0052,LOC-01,212,2025-02-18,2025-08-16
LOT-00124,SKU-0044,LOC-03,535,2025-01-31,2025-06-07
LOT-00125,SKU-0019,LOC-03,1164,2025-02-17,2025-08-09
LOT-00126,SKU-0020,LOC-04,1546,2025-02-25,2025-03-28
LOT-00127,SKU-0041,LOC-01,830,2025-02-22,2026-02-03
LOT-00128,SKU-0060,LOC-01,211,2025-01-29,2025-07-23
LOT-00129,SKU-0033,LOC-05,1987,2025-02-13,2025-06-21
LOT-00130,SKU-0037,LOC-04,1130,2025-02-21,2025-03-25
LOT-00131,SKU-0020,LOC-01,1407,2025-02-18,2025-03-21
LOT-00132,SKU-0031,LOC-01,1274,2025-02-20,2025-04-13
LOT-00133,SKU-0054,LOC-03,1259,2025-02-04,2025-10-10
LOT-00134,SKU-0008,LOC-02,417,2025-02-20,2025-03-31
LOT-00135,SKU-0026,LOC-02,753,2025-02-14,2026-01-03
LOT-00136,SKU-0036,LOC-03,1412,2025-02-25,2025-04-08
LOT-00137,SKU-0017,LOC-01,1385,2025-02-08,2025-05-25
LOT-00138,SKU-0029,LOC-05,1827,2025-02-20,2025-06-19
LOT-00139,SKU-0006,LOC-02,1843,2025-02-17,2025-03-28
LOT-00140,SKU-0010,LOC-02,1126,2025-02-25,2025-07-18
LOT-00141,SKU-0005,LOC-01,1972,2025-02-06,2025-09-13
LOT-00142,SKU-0011,LOC-05,1512,2025-02-03,2025-05-19
LOT-00143,SKU-0025,LOC-03,964,2025-02-20,2025-04-16
LOT-00144,SKU-0035,LOC-01,76,2025-02-10,2025-06-26
LOT-00145,SKU-0055,LOC-04,1550,2025-02-13,2025-07-01
LOT-00146,SKU-0037,LOC-02,1707,2025-02-23,2025-03-27
LOT-00147,SKU-0017,LOC-05,1911,2025-02-25,2025-06-11
LOT-00148,SKU-0013,LOC-04,496,2025-02-18,2025-05-27
LOT-00149,SKU-0049,LOC-02,1360,2025-02-23,2025-05-27
LOT-00150,SKU-0034,LOC-03,1064,2025-02-24,2025-03-26
LOT-00151,SKU-0012,LOC-01,1760,2024-11-23,2025-11-17
LOT-00152,SKU-0057,LOC-01,311,2025-02-15,2025-04-04
LOT-00153,SKU-0047,LOC-05,465,2025-01-18,2025-07-15
LOT-00154,SKU-0038,LOC-04,1962,2025-02-17,2025-04-16
LOT-00155,SKU-0050,LOC-02,227,2025-02-11,2025-05-16
LOT-00156,SKU-0034,LOC-04,1118,2025-02-19,2025-03-21
LOT-00157,SKU-0033,LOC-04,1411,2025-02-11,2025-06-19
LOT-00158,SKU-0029,LOC-04,946,2025-02-25,2025-06-24
LOT-00159,SKU-0017,LOC-02,727,2025-02-15,2025-06-01
LOT-00160,SKU-0043,LOC-03,518,2025-02-06,2026-01-12
LOT-00161,SKU-0051,LOC-01,830,2024-12-24,2025-08-05
LOT-00162,SKU-0016,LOC-04,404,2025-02-24,2025-10-19
LOT-00163,SKU-0056,LOC-01,1352,2025-02-04,2025-10-01
LOT-00164,SKU-0050,LOC-05,425,2025-02-10,2025-05-15
LOT-00165,SKU-0019,LOC-05,395,2025-02-17,2025-08-09
LOT-00166,SKU-0021,LOC-01,1092,2025-02-22,2025-06-16
LOT-00167,SKU-0012,LOC-02,230,2025-02-23,2026-02-17
LOT-00168,SKU-0047,LOC-01,1391,2025-02-25,2025-08-22
LOT-00169,SKU-0056,LOC-03,1509,2025-01-17,2025-09-13
LOT-00170,SKU-0052,LOC-02,1532,2025-02-17,2025-08-15
LOT-00171,SKU-0014,LOC-02,1796,2025-02-10,2025-05-22
LOT-00172,SKU-0046,LOC-03,1088,2025-02-24,2025-07-11
LOT-00173,SKU-0045,LOC-02,523,2025-02-18,2025-03-30
LOT-00174,SKU-0025,LOC-05,405,2025-02-25,2025-04-21
LOT-00175,SKU-0039,LOC-01,719,2025-02-25,2025-08-13
LOT-00176,SKU-0025,LOC-04,742,2025-02-20,2025-04-16
LOT-00177,SKU-0041,LOC-05,1487,2024-11-13,2025-10-25
LOT-00178,SKU-0047,LOC-01,1151,2025-02-18,2025-08-15
LOT-00179,SKU-0042,LOC-01,1235,2025-02-21,2025-03-30
LOT-00180,SKU-0059,LOC-03,1974,2025-02-18,2025-06-03
LOT-00181,SKU-0037,LOC-01,348,2025-02-24,2025-03-28
LOT-00182,SKU-0055,LOC-04,1709,2025-02-15,2025-07-03
LOT-00183,SKU-0030,LOC-01,850,2025-02-09,2025-07-29
LOT-00184,SKU-0036,LOC-02,1173,2025-02-25,2025-04-08
LOT-00185,SKU-0011,LOC-04,1651,2025-02-01,2025-05-17
LOT-00186,SKU-0002,LOC-03,1165,2025-02-17,2025-06-01
LOT-00187,SKU-0051,LOC-05,681,2025-02-16,2025-09-28
LOT-00188,SKU-0019,LOC-04,1040,2025-02-01,2025-07-24
LOT-00189,SKU-0049,LOC-04,613,2025-02-15,2025-05-19
LOT-00190,SKU-0037,LOC-03,1868,2025-02-25,2025-03-29
LOT-00191,SKU-0013,LOC-03,936,2025-02-25,2025-06-03
LOT-00192,SKU-0005,LOC-02,1981,2025-01-14,2025-08-21
LOT-00193,SKU-0013,LOC-02,1599,2025-01-29,2025-05-07
LOT-00194,SKU-0031,LOC-01,1709,2025-02-24,2025-04-17
LOT-00195,SKU-0060,LOC-04,1983,2025-01-30,2025-07-24
LOT-00196,SKU-0034,LOC-04,789,2025-02-24,2025-03-26
LOT-00197,SKU-0001,LOC-04,1601,2025-02-11,2025-08-06
LOT-00198,SKU-0014,LOC-04,369,2025-02-15,2025-05-27
LOT-00199,SKU-0021,LOC-05,1070,2025-02-10,2025-06-04
LOT-00200,SKU-0004,LOC-01,1761,2025-01-24,2025-07-26
